,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
118,5.58350182,-1.80642688,0.308991846,0.001195988,0.109757725,0.030255748,-0.000881003,-0.503053096,0.011252786,-0.465601021,-0.181338959,0.156913518,-0.092536881,-0.025230754,0.03172027
119,6.119869409,-1.784990951,0.300272268,-0.045106606,0.087805729,-0.000482174,0.052202606,-0.508372966,0.017461714,-0.417040382,-0.120054336,0.145695142,-0.121303398,-0.00866677,0.030887849
120,6.746270756,-1.85875409,0.345529878,-0.013375717,0.067727531,0.006040643,0.03755102,-0.48785659,0.071880334,-0.461944147,-0.134047836,0.185910939,-0.08959082,-0.040378103,0.053546834
121,7.336187818,-1.849316278,0.357402512,-0.018241265,0.108259585,0.026890785,0.083383907,-0.52044586,0.053356074,-0.463721975,-0.187028194,0.149278437,-0.068297868,-0.048132284,0.017973749
122,7.949342979,-1.858786007,0.332111356,-0.018449184,0.071319818,0.010170278,0.018898241,-0.529741336,0.038813521,-0.425132601,-0.149910757,0.155756308,-0.080965138,-0.029765423,0.015419032
123,8.511143705,-1.845078785,0.345431692,-0.02432174,0.107297823,0.024904446,0.014430127,-0.50556124,0.024017682,-0.467547296,-0.102505574,0.14584644,-0.089870546,-0.043914965,0.048333344
124,9.104866845,-1.86639769,0.303169486,-0.018572743,0.08419951,0.000827034,0.058550588,-0.513898629,0.065673865,-0.470618432,-0.162497751,0.165478657,-0.049657778,-0.056143053,0.021774925
125,9.713121556,-1.826750876,0.302192935,-0.006528436,0.10603503,0.003349842,0.04863589,-0.501556982,0.021583349,-0.454218057,-0.183889533,0.15037994,-0.071866731,-0.064670182,0.00531852
126,10.33630405,-1.854824558,0.356955961,-0.031801838,0.082695964,0.000224469,0.02594289,-0.487480352,0.043698001,-0.465256645,-0.136180634,0.151609909,-0.069579147,-0.039939194,0.043609605
127,10.94102167,-1.864012732,0.326102022,-0.006392589,0.097579674,-0.02577895,0.015466868,-0.480716947,0.048168428,-0.455081672,-0.139449618,0.15249088,-0.076916156,-0.057367543,0.00819777
128,11.61264888,-1.864633921,0.329274618,0.022007316,0.097016317,0.025395215,0.033945911,-0.524534548,0.026115896,-0.454788455,-0.149209847,0.147467987,-0.075793391,-0.084183738,0.040311611
129,12.2122652,-1.86541298,0.347147588,-0.040472256,0.081941647,-0.00486045,0.042398307,-0.501739641,0.005272389,-0.473737964,-0.164594449,0.17719649,-0.076991366,-0.064887314,0.055286325
130,12.86591213,-1.887769417,0.324353818,-0.023095698,0.107712971,0.014857769,0.04532352,-0.488762013,0.061190129,-0.443490772,-0.146632243,0.174861146,-0.068861448,-0.02775433,0.020073326
131,13.47408849,-1.882737124,0.321948286,-0.036777665,0.092776978,0.006366315,0.012350971,-0.497526457,0.070007137,-0.476852668,-0.11560107,0.161272393,-0.046361604,-0.057824204,0.047739452
132,14.11426968,-1.912610913,0.332879502,-0.018829636,0.099020945,0.03522369,0.037515588,-0.490821272,0.033807961,-0.446138655,-0.177153027,0.16718529,-0.091766382,-0.058830763,0.027888154
133,14.74734676,-1.918328586,0.316346148,-0.007416806,0.081126006,0.01943824,0.01966479,-0.512577412,0.058512841,-0.475339093,-0.136230903,0.147002448,-0.076788378,-0.058417905,0.034381673
134,15.4035916,-1.898482728,0.366694311,0.005380127,0.112943991,0.022394838,0.039104379,-0.494792335,0.011344589,-0.448136362,-0.153880521,0.164383147,-0.102346662,-0.046641858,0.036445377
135,16.10541055,-1.952784473,0.307680051,-0.014380123,0.098112378,0.020689705,0.03706462,-0.49376532,0.003292905,-0.483906575,-0.172024376,0.176443808,-0.086499797,-0.054605591,0.026748836
136,16.72305414,-1.925100619,0.310258098,-0.037858279,0.11002168,0.005601882,-0.013292409,-0.495592819,0.024595437,-0.474529428,-0.164499064,0.170035343,-0.064558122,-0.057943001,0.020136935
137,17.38840386,-1.949584164,0.347436582,-0.001147419,0.081019725,0.049587404,0.053203555,-0.493237949,0.034745743,-0.46070885,-0.163698665,0.155798246,-0.070990736,-0.052926027,0.023776195
